codine,mun,siniestros,siniestrosnum,siniestrostxt,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29006,Algatocín,"0,2",21,"0,2",,,,,,,,,,,,,2,2,,,,2,,,,,,
29027,Benamocarra,"0,2",21,"0,2",,,,,,,,,,,7,2,,,,,,,,,,,,2
29074,Montejaque,"0,2",17,"0,2",,2,,,,,,2,,2,,2,,,2,,,,,,,,,
29004,Alfarnatejo,"0,2",17,"0,2",,,,,,,,,,2,,,,,,,,2,,,,,,
29016,Árchez,"0,2",17,"0,2",2,,,,,,,,2,2,,,,,,,,,,,,,,2
29092,Totalán,"0,1",13,"0,1",,,,,,,,,,2,,,,,2,,,,,,,,,
29066,Macharaviaya,"0,1",13,"0,1",,,,,,,,,,2,,2,,,,,,,2,,,,,
29022,Benadalid,"0,1",13,"0,1",,,,,,,,,,,,2,,,2,,,2,,,,,,
29029,Benarrabá,"0,1",13,"0,1",,,,,,,,,,,,,,,2,,,2,,,,,,
29060,Igualeja,"0,1",13,"0,1",2,,,,,,2,2,,2,,,,,2,,,8,,,,,,
29030,El Borge,"0,1",13,"0,1",,,2,,,"2,0",,,,,,2,,,,,2,2,,,,,,
29081,Pujerra,"0,1",8,"0,1",2,,,,,,,,,,,2,,,,,,,,,,,,2
29087,Sedella,"0,0",4,"0,0",,,,,,,,,,,,,,,,,,2,,,,,,
29048,Cuevas del Becerro,"0,0",4,"0,0",,,,"2,0",,,,,,,,2,,,2,,,,,2,,,,2
