codine,mun,tasa,tasanum,tasatxt,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29045,Cómpeta,"38,6",3857,"38,6",,,,"11,65",,,"1,87",,"671,62","132,6",,"4,44",,,"17,22",,,,,,,,,"86,29"
29902,Villanueva de la Concepción,"36,1",3610,"36,1","112,74",,,,,,"40,89",,,,,"66,32",,,,"17,21",,"245,75","95,25",,,,,"288,19"
29059,Humilladero,"35,7",3573,"35,7","2,44","21,56","25,8",,,,"80,28",,,,,"258,06",,,"9,3",,,"450,2",,,"9,9",,,
29076,Ojén,"32,9",3287,"32,9",,,,"3,33",,"57,79",,,"33,42","192,3","87,99",,,"8,87",,"156,52",,"164,52","7,77","10,1",,"0,71",,"65,67"
29043,Colmenar,"32,8",3283,"32,8",,,,"249,96",,,"11,79",,"17,81","52,9",,"102,53",,,,,,"48,96",,,,,,"304,02"
29004,Alfarnatejo,"32,3",3231,"32,3",,,,,,,,,"73,37",,,"198,38",,,,,,"86,89",,,,,,"416,89"
29035,Cañete la Real,"31,6",3159,"31,6",,,,,,,,,,"269,85",,,"120,65",,,,,"238,01",,,,,,"129,54"
29054,Fuengirola,"30,5",3051,"30,5","0,5","44,34","424,4","19,27","6,1","18,45","38,67","16,67","12,03","33,29","1,35","4,8","0,72","31,39","4,23","58,43","5,39","1,47","1,3","2,71","3,23","0,11","1,39","2,06"
29053,Frigiliana,"29,4",2943,"29,4","16,81",,,,,,"429,77","4,58","19,34","8,52",,"96,71",,,"56,07",,,,,,,,,"74,4"
29061,Istán,"25,9",2592,"25,9",,,,,,,,,,"98,38","37,62",,,,,"486,11",,,,,,,,
29039,Casabermeja,"25,4",2544,"25,4",,,"26,39","8,89",,,,"3,98","128,77","29,14",,"336,32","1,54",,,"4,41","1,06","1,58",,,,"5,42",,"63,11"
29066,Macharaviaya,"25,0",2501,"25,0","404,04",,,,,,,,,,,"196,24",,,,,,,,,,,,
29025,Benalmádena,"24,7",2467,"24,7",304,"19,14","12,72","40,5",,"21,69","1,33","7,39","7,61","43,39","2,11","1,08","0,31","1,37","5,06","13,44","7,82","5,64","22,17","8,58","0,21","0,04","0,07","66,45"
29100,Yunquera,"20,5",2055,"20,5",,,,,,,,,"413,02",,,,,,,,,"80,08",,,,,,
29060,Igualeja,"16,1",1610,"16,1",,,,,,,,,,"261,21",,"73,73",,,"51,41",,,,,,,,,
29034,Canillas de Albaida,"15,6",1555,"15,6",,,,,,,,,"219,44","61,65",,,,,"92,16",,,,,,,,,
29033,Canillas de Aceituno,"15,4",1536,"15,4",,,,,,,,,,,,"299,26",,,,,,,"28,23",,,,,"41,06"
29094,Vélez-Málaga,"14,1",1411,"14,1","43,28","11,03","0,77","17,04",,"40,03","6,87","7,47","1,77","15,63","0,55","17,28","1,24","15,19","1,74","4,24","1,72","41,88","14,45","0,92",,"1,67",,"93,77"
29091,Torrox,"14,0",1400,"14,0","1,14","0,77",,,,,"65,6","2,56","106,17","59,72","2,99","6,19",,"3,93","7,82","16,39",,"6,8",,,"0,13","0,16",,"55,59"
29055,Fuente de Piedra,"13,2",1317,"13,2",,,,,,"112,49","75,57",,,,,"2,08",,,,,,"114,28",,,,,,"11,59"
29095,Villanueva de Algaidas,"12,3",1233,"12,3",,,,,"10,0","161,87",,,,"16,22",,"29,32",,,,,"56,67","0,67",,,,,,"21,14"
29001,Alameda,"12,2",1219,"12,2",,,,"30,61",,,"10,38",,,,,"246,54",,,,,"5,03",,,,,,,
29029,Benarrabá,"11,3",1133,"11,3",,,,,,,,,,,,,,,,,,"224,76",,,,"47,04",,
29006,Algatocín,"11,2",1122,"11,2",,,,,,,,,,,,,"48,5","163,18",,,,"57,55",,,,,,
29083,Riogordo,"10,1",1014,"10,1",,,,,,,,,,,"159,79","3,29",,,,,,,,,,,,"80,39"
29086,Sayalonga,"9,4",939,"9,4",,"2,06",,,,,,"23,13",,"120,47",,"6,85",,,"72,89",,,,,,,,,
29030,El Borge,"9,1",907,"9,1",,,,,,,,,,"68,07",,,,,,,,"149,65",,,,,,
29074,Montejaque,"8,1",812,"8,1","33,44",,,,,,,,"24,67","18,16",,,,,,,,,,,,,,"118,49"
29016,Árchez,"6,5",651,"6,5",,,,,,,,,,"21,58",,,,,"134,64",,,,,,,,,
29098,Villanueva de Tapia,"5,4",542,"5,4",,,,,,,,,,"11,73",,"106,07",,,,,,,"12,37",,,,,
29014,Alpandeire,"3,5",348,"3,5",,,,,,,,,,,,"27,07",,,"1,76",,,"54,59",,,,,,
29081,Pujerra,"3,2",315,"3,2",,,,,,,,,,,,,,,"31,48",,,"44,12",,,,,,
29005,Algarrobo,"2,9",286,"2,9","3,51",,,,,,"10,19","2,18",,"3,09",,,,,"20,69",,,"29,05",,,,,,
29049,Cuevas de San Marcos,"2,1",212,"2,1",,,"5,73",,,"17,76",,,,,,"12,96",,,,,"11,11","3,21",,,,,,
29027,Benamocarra,"2,1",210,"2,1","24,08",,,,,,,,,,,"15,85",,,,,,,,,,,,"10,57"
29048,Cuevas del Becerro,"0,2",16,"0,2",,,,,,,,,,,,,,,,,,"3,82",,,,,,
29071,Moclinejo,"0,0",0,"0,0",,,,0,,,,,,,,0,,,0,,,,,0,,,,0
