codine,mun,indemnizaciones,indemnum,indemtxt,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29080,Pizarra,"29609,1",2960911,"29.609,1",,,1534,"20535,04",,"4.769,2","8572,63","14030,75","37212,53","33603,84",11035,"770138,12","1145,26",,,"1025,91",,"30009,54","385238,08",,,,,8800
29018,Ardales,"28688,5",2868846,"28.688,5",,,,,,,,,,,,"6117,27",,,"14935,51","1574,46",,7811,,,,,,
29046,Cortes de la Frontera,"28443,4",2844343,"28.443,4",,,,,,,,,"78458,65",,,,,,,,,,,,,,,
29002,Alcaucín,"26632,9",2663285,"26.632,9",,,,"39040,67",,"619,6",,,,"200992,62",,,,,,"10070,61",,"58106,99",,"1849,3",,,,"10337,49"
29011,Almogía,"25938,2",2593823,"25.938,2","150227,16",,13308,"83091,32","288.102,1","166.835,7","3581931,68","203731,36","71960,1","4128662,13","1182860,41","51566,65","10624,75","26264,58","161654,09","9795055,19","21806,58","4155488,38",,"27483,78","194641,65","127487,75","4814,25","915159,27"
29099,Viñuela,"20787,1",2078712,"20.787,1","1115,04",,236306,"12120,53",,"101.715,2","72366,74","12507,64","32788,51","435095,26","5918,17","21727,46","369,44","1431,24","19535,6","783137,03","6379,92","894585,49","387905,03","189347,37","21453,64","885,59","235,13","150904,85"
29093,Valle de Abdalajís,"19958,6",1995861,"19.958,6",,,,,,,,,,"436019,11",,"2519,24",,,,"6034,78",,"2283,77",,,,,,"52033,96"
29096,Villanueva del Rosario,"19639,3",1963926,"19.639,3",,,,,,"50.038,5",,,,12498,,"3657,29","5669,03",,,,,,,,,,,
29045,Cómpeta,"14676,4",1467638,"14.676,4",,,,,,,,,,"141484,54",,"1815,34",,,,,,,,,,"2225,72",,"1374,24"
29072,Mollina,"13506,0",1350604,"13.506,0","115329,63",,192779,"66862,36",,"21.643,5","21028,59","1546,42","71053,78","253441,78","14990,3","83048,08","4564,96",,"5489,24","244918,68","35544,36","368484,07","1111556,31","266600,41",,"2820,06","4229,56","216966,69"
29040,Casarabonela,"13375,7",1337572,"13.375,7","2681427,29","272399,14",3132170,"5057570,17","13.105,0","3.579.224,6","869187,15","378625,05","10252442,07","13228979,53","402628,06","11235757,6","65838,47","87754,78","1601656,63","6508174,01","7978204,24","1861545,98","927261,08","14312751,95","435528,29","22493,28","677,51","9172670,86"
29053,Frigiliana,"12932,2",1293217,"12.932,2",,,,"91197,85","1.136,4","9.648,7","127685,63",,"173976,86",6776762,"564514,91","231189,14","8109,17","711,17",,"2311244,25","12168,8","542384,76","14911,39","2630,08",,"4717,87","194230,23","116365,61"
29010,Almargen,"12932,0",1293201,"12.932,0",,,,,,,,,,,,,,"1595,43",,,,"4110,42",,,,,,"33398,53"
29024,Benalauría,"12105,2",1210516,"12.105,2",,,155861,,,"1.670,4",,,,"3261,62",,"142904,93",,,,,"12237,03","7936,65",,,"273,35",,,
29044,Comares,"11397,4",1139741,"11.397,4",,,5215,"50276,52",,,"9473,76",,,"18359,6",,"195653,98",,,,"105673,75",,"13705,71",,,"482,13",,,"311778,15"
29013,Alozaina,"11251,4",1125143,"11.251,4","24598,2","1196,61",12890,"3869,72",,"23.786,8","2563832,39","405,37","19136,5","4164,73","19503,01","361996,92",,"14251,85","8237,31","11277,8",,"3939,48","6881,58","1401,69","35723,08",,,"86209,93"
29039,Casabermeja,"11207,4",1120744,"11.207,4",,,,,,,,,"36041,17","67782,42",,,,,"11090,31",,"2520,31",,"571,33",,,,,"530,19"
29020,Arriate,"10123,8",1012382,"10.123,8","4568,16",,,"18860,2",,,,,"13003,21","386,21",,"76215,77","4594,02",,,,,,"1956,61",,,,,"89628,16"
29079,Periana,"8717,2",871718,"8.717,2",,,,,,,,,"12023,95","14788,68",,,,,,"11669,91",,"102697,88","2644,07",,,,,"14464,41"
29043,Colmenar,"7304,9",730488,"7.304,9","67896,39",,91550,"27054,54","14.800,9","116.789,5","30371,22","37009,1","166106,54","143208,14","33019,44","2420764,24","146815,76","1306,47",18873,"69760,27","89040,17","791143,07","243719,03",,"5308,34","94001,29",,"170841,76"
29059,Humilladero,"7019,9",701993,"7.019,9",,,,"2815,01",,,,,,,,"74237,95",,,,,,,,,,,,"4947,84"
29902,Villanueva de la Concepción,"6726,2",672616,"6.726,2","1018133,89","45765,55",162313,"857353,98","1.217,0","88.195,5","108166,96","221699,19","347084,68","1334754,79","8423,79","20686,54","1125,79","10246,43","1650422,82","67326,12","70989,85","53752,17","645618,75","684687,05","1622,58","12562,89","814,74","446318,78"
29058,Guaro,"6595,4",659537,"6.595,4",,,,"30368,83",,,,,,,,,,,,,,,,"5327,21",,,,
29090,Tolox,"6120,8",612083,"6.120,8",,,,,,,,,"5246,38",,,,,,,,,"77637,37",,,,"6039,26",,
29061,Istán,"5205,6",520560,"5.205,6","978,15",,,,,,"2340,1",,"55247,48","26990,43",,"62440,95","4459,56","1401,95",,,,"84418,79",,"476,4",,"1166,79",,"3051,01"
29052,Faraján,"4987,5",498746,"4.987,5",,,,,,,,,,,,"8117,04",,,,,,"3885,98",,,,"2325,58",,
29019,Arenas,"4939,0",493899,"4.939,0","9032,74",,,,,,,,"18580,21",,,,,,,"538,7",,,,,,,,
29036,Carratraca,"4239,0",423905,"4.239,0",,,,,,"1.995,7",,,,,,,,,,,,,,,,"3449,87",,"5616,22"
29055,Fuente de Piedra,"3780,3",378025,"3.780,3",,,,"3250,47",,,"634,03",,"250275,97","50926,42",,"1738,79",,,"6951,29",,,,,,,,,"38456,06"
29095,Villanueva de Algaidas,"3773,2",377321,"3.773,2","11810,39",,,,,,"6450,48",,,,,"12119,56",,,,"3289,66",,"48693,02","19167,29",,,,,"59897,48"
29031,El Burgo,"3705,1",370513,"3.705,1","271,7","2503,24",3313,,,,"13459,59",,,,,"50110,65",,,"1860,87",,,"94785,56",,,"2173,51",,,
